title,company,location,work_type,level,compensation,link,id,scraped_date
Senior AI Engineer,Metropolis Technologies,,,,,https://www.builtinla.com/job/senior-ai-engineer/9122136,9122136,2026-09-23
AI and full stack developer,Vaero,,,,,https://www.builtinla.com/job/ai-and-full-stack-developer/10159694,10159694,2026-09-23
AI Engineer,Ergodic AI,,,,,https://www.builtinla.com/job/ai-engineer/10949758,10949758,2026-09-23
Solution Engineer - AI Business Process,Microsoft,,,,,https://www.builtinla.com/job/solution-engineer-ai-business-process/11268960,11268960,2026-09-23
AI Quality Engineer,xCures,,,,,https://www.builtinla.com/job/ai-quality-engineer/11268465,11268465,2026-09-23
Infrastructure & AI Automation Engineer,Armanino LLP,,,,,https://www.builtinla.com/job/infrastructure-ai-automation-engineer/11094629,11094629,2026-09-23
Corporate Sales Lead – AI Training & Developer Enablement,Codistry Academy,,,,,https://www.builtinla.com/job/corporate-sales-lead-ai-training-developer-enablement/11267294,11267294,2026-09-23
AI Engineer | Remote - Contract,Xperteez Technology,,,,,https://www.builtinla.com/job/ai-engineer-remote-contract/11266196,11266196,2026-09-23
AI Engineer,"Pluto Laboratory, Inc.",,,,,https://www.builtinla.com/job/ai-engineer/9674219,9674219,2026-09-23
"AI Engineer, Customer Success",Samsara,,,,,https://www.builtinla.com/job/applied-ai-specialist-commercial-customer-success/9966739,9966739,2026-09-23
Senior and/or Principal Software Engineer- AI Frameworks,Microsoft,,,,,https://www.builtinla.com/job/senior-and-or-principal-software-engineering-ai-frameworks/11192096,11192096,2026-09-23
Senior AI Engineer,WebMD,,,,,https://www.builtinla.com/job/senior-ai-engineer/11072527,11072527,2026-09-23
AI Engineer (Application Design & Rapid Deployment),WebMD,,,,,https://www.builtinla.com/job/ai-engineer-application-design-rapid-deployment/11072501,11072501,2026-09-23
AI Engineer (Application Design & Rapid Deployment),WebMD,,,,,https://www.builtinla.com/job/ai-engineer-application-design-rapid-deployment/11072445,11072445,2026-09-23
"Gen AI Engineer -Dallas, TX",Photon,,,,,https://www.builtinla.com/job/gen-ai-engineer-dallas-tx/11264404,11264404,2026-09-23
Senior Solution Engineer - Cloud & AI Data Platform,Microsoft,,,,,https://www.builtinla.com/job/senior-solution-engineer-cloud-ai-data-platform/10550230,10550230,2026-09-23
Solution Engineer - AI Workforce,Microsoft,,,,,https://www.builtinla.com/job/solution-engineer-ai-workforce/10804317,10804317,2026-09-23
Principal Software Engineer - AI Safety and Security,Microsoft,,,,,https://www.builtinla.com/job/principal-software-engineer-ai-safety-and-security/11196870,11196870,2026-09-23
"Senior Software Engineer, Applied AI","VIVIO, a Public Benefit Corporation",,,,,https://www.builtinla.com/job/senior-software-engineer-applied-ai/11261438,11261438,2026-09-23
AI Solutions Architect / Copilot Developer,Pyrovio,,,,,https://www.builtinla.com/job/ai-solutions-architect-copilot-developer/11260002,11260002,2026-09-23
[EN] Artificial intelligence engineer at Figen AI,Figen AI,,,,,https://www.builtinla.com/job/en-artificial-intelligence-engineer-figen-ai/9739373,9739373,2026-09-23
